# Draft French translation file for V-Forecast Shiny app (https://github.com/rickmorgan2/VForecast)
# Version 2, 2 MArch 2020.
# Author of French translation and "sed" commands: Mayeul Kauffmann, Cybis-UGA, March 2020
# The French translation part and the sed part are licensed under CC0 (public domain);
# hence they can be mixed with other licenses if needed. Attribution is not required but appreciated.
#
# This is a tabular "csv" file (with tab separation).
# Field description:
# notes_Mayeul: comments
# file: name of the file where the string originated
# string_eng: English string
# string_fr: French string
# sed: GNU sed command to launch to replace the string (in place, modifying the file 'file')
notes_Mayeul	file	string_eng	string_fr	sed
	ui.r	V-Forecast: Predicting Adverse Regime Transitions (PART)	V-Forecast : Prévision des changements de régime défavorables (PART: Predicting Adverse Regime Transitions)	sed -i "s/\"V-Forecast: Predicting Adverse Regime Transitions (PART)\"/\"V-Forecast : Prévision des changements de régime défavorables (PART: Predicting Adverse Regime Transitions)\"/g" ui.r
	ui.r	We define an adverse regime transition as a year-to-year decrease in the	Une transition de régime défavorable est définie comme une diminution sur un an de l’	sed -i "s/\"We define an adverse regime transition as a year-to-year decrease in the\"/\"Une transition de régime défavorable est définie comme une diminution sur un an de l’\"/g" ui.r
	ui.r	Regimes of the World (RoW) index,	Indicateur des régimes du monde (RoW: Regimes of the World),	sed -i "s/\"Regimes of the World (RoW) index,\"/\"Indicateur des régimes du monde (RoW: Regimes of the World),\"/g" ui.r
	ui.r	which classifies political regimes as either a 	qui classe les régimes politiques en tant que 	sed -i "s/\"which classifies political regimes as either a \"/\"qui classe les régimes politiques en tant que \"/g" ui.r
	ui.r	closed autocracy	autocratie fermée	sed -i "s/\"closed autocracy\"/\"autocratie fermée\"/g" ui.r
	ui.r	electoral autocracy	autocratie électorale	sed -i "s/\"electoral autocracy\"/\"autocratie électorale\"/g" ui.r
	ui.r	electoral democracy	démocratie électorale	sed -i "s/\"electoral democracy\"/\"démocratie électorale\"/g" ui.r
	ui.r	or liberal democracy	ou démocratie libérale	sed -i "s/\"or liberal democracy\"/\"ou démocratie libérale\"/g" ui.r
	ui.r	closed autocracy, electoral autocracy, electoral democracy, or liberal democracy. 	autocratie fermée, autocratie électorale, démocratie électorale ou démocratie libérale. 	sed -i "s/\"closed autocracy, electoral autocracy, electoral democracy, or liberal democracy. \"/\"autocratie fermée, autocratie électorale, démocratie électorale ou démocratie libérale. \"/g" ui.r
	ui.r	The PART project estimates the risk of moving down this scale within a two-year window.		sed -i "s/\"The PART project estimates the risk of moving down this scale within a two-year window.\"/\"\"/g" ui.r
	ui.r	For more details, please see our	Pour plus de détails, consultez le	sed -i "s/\"For more details, please see our\"/\"Pour plus de détails, consultez le\"/g" ui.r
	ui.r	 working paper.	 document de travail.	sed -i "s/\" working paper.\"/\" document de travail.\"/g" ui.r
	ui.r	We welcome feedback.	Les commentaires sont bienvenus.	sed -i "s/\"We welcome feedback.\"/\"Les commentaires sont bienvenus.\"/g" ui.r
